くわしく	委しく 精しく 詳く 詳しく
くわしけれ	精しけれ 詳しけれ
けがらわしい	汚らわしい 穢らわしい
けだる	気だる 気怠
けだるい	気だるい 気怠い
けだるく	気だるく 気怠く
けわし	嶮し 険 険し
けわしい	嶮しい 険しい
けわしく	嶮しく 険しく
こいし	恋し 戀し
こうばし	芳ばし 香ばし
こうばしい	芳ばしい 香ばしい
こぎたない	小汚い 小汚ない
こげくさ	焦げ臭 焦臭
こげくさい	焦げくさい 焦げ臭い
こげくさく	焦げくさく 焦げ臭く
ここちよ	心地よ 心地好 心地良
ここちよい	心地よい 心地好い 心地良い
ここちよかっ	心地よかっ 心地良かっ
ここちよく	心地よく 心地好く 心地良く
こころない	心ない 心無い
こころなく	心なく 心無く
こころなけれ	心なけれ 心無けれ
こころぼそ	心ぼそ 心細
こころぼそい	心ぼそい 心細い
こころもとな	心もとな 心許な
こころもとない	心もとない 心許ない 心許無い
こころもとなかっ	心もとなかっ 心許なかっ
こころもとなく	心もとなく 心許なく
こころやすい	心やすい 心安い
こころやすく	心やすく 心安く
こころよい	快い 快よい
こざかし	小ざかし 小賢し
こざかしい	小ざかしい 小賢しい
このまし	好し 好まし
こわ	こは 怕 怖 恐
こわい	こはい コワい 怖い 恐い
こわかっ	怖かっ 恐かっ
こわく	こはく コワく 怖く 恐く
こわーい	コワ〜イ 怖〜い
さと	敏 聡 聰
さとい	敏い 聡い
さとく	敏く 聡く
さびし	サビし 寂し 淋し
さびしい	寂しい 寂びしい 淋しい
さびしかっ	寂しかっ 淋しかっ
さびしかろう	寂しかろう 淋しかろう
さびしく	寂しく 淋しく
さむい	サムい 寒い
さりげなく	さり気なく さり気無く
しおから	塩から 塩辛
しおからい	塩からい 塩辛い
しおからく	塩からく 塩辛く
しかたない	仕方ない 仕方無い
しかたなかっ	仕方なかっ 仕方無かっ
しかたなく	仕方なく 仕方無く
したしい	親い 親しい
したしく	親く 親しく
しぶ	渋 澁
しぶい	シブい 渋い
しぶかっ	シブかっ 渋かっ
しぶく	シブく 渋く
しろ	白 皎 皓
しわ	しは 吝 悋
しわい	しはい 吝い
じれった	焦った 焦れった
すがすがし	清々し 清清し
すがすがしい	清々しい 清清しい
すくな	僅 寡 少 少な 尠 尠な
すくない	寡い 少い 少ない 尠い
すくなかっ	少かっ 少なかっ
すくなく	寡く 少く 少なく 尠く
すごい	スゴい 凄い
すごかっ	スゴかっ 凄かっ
すごく	スゴく 凄く
すごーい	すご〜い スゴ〜イ
すずし	すゞし 涼 涼し
すばや	素早 素速
すばやい	素早い 素速い
すばやく	素早く 素速く
すばらし	素晴し 素晴らし
すばらしい	素晴しい 素晴らしい
すばらしく	素晴しく 素晴らしく
ずるい	ズルい 狡い
ずるがしこ	ずる賢 ズル賢 狡賢
ずるがしこい	ずる賢い ズル賢い 狡賢い
ずるがしこく	ずる賢く ズル賢く 狡賢く
ずるく	ズルく 狡く
せつな	切 切な
せんない	詮ない 詮無い
そこがた	底固 底堅
そっけない	素っ気ない 素っ気無い 素気ない
そっけなかっ	素っ気なかっ 素っ気無かっ 素気なかっ
そっけなく	素っ気なく 素っ気無く 素気なく
そらおそろし	そら恐ろし 空恐ろし
そらおそろしい	そら恐ろしい 空恐ろしい
そらおそろしく	そら恐ろしく 空恐ろしく
たか	高 高価
たかく	高かく 高く
たくまし	逞 逞し 逞まし
たくましく	逞く 逞しく
ただし	正 正し
ただしく	正く 正しく
たのし	愉し 楽 楽し
たのしい	愉しい 楽しい
たのしかっ	愉しかっ 楽しかっ
たのしく	愉しく 楽しく
たのもしい	頼もしい 頼母しい
たゆ	弛 懈
たよりな	頼りな 頼り無
たよりない	頼りない 頼り無い
たよりなく	頼りなく 頼り無く
ちいさ	小 小さ
ちいさい	小い 小さい
ちいさく	小く 小さく
ちいせえ	小え 小せえ
ちかき	近 近き
ちからない	力ない 力無い
ちからなく	力なく 力無く
ちっちゃい	小ちゃい 小っちゃい
ちっちゃく	小ちゃく 小っちゃく
ちなまぐさ	血生臭 血腥
ちなまぐさい	血なまぐさい 血生臭い 血腥い
ちなまぐさく	血なまぐさく 血生臭く 血腥く
つつがな	恙な 恙無
つつがなく	恙なく 恙無く
つつしみぶかい	つつしみ深い 慎み深い
つつしみぶかく	つつしみ深く 慎み深く
つつましい	慎しい 慎ましい
つめたい	冷たい 冷めたい
つめたく	冷たく 冷めたく
つよ	勁 強 毅 猛 靭
つよい	勁い 強い
つよく	勁く 強く 猛く
つらい	ツラい 辛い
