あらためる	改める 検める 革める
あらだて	荒だて 荒立て
あらわさ	洗わさ 現さ 現はさ 現わさ 著さ 著わさ 表さ 表わさ 顕さ
あらわし	現し 現はし 現わし 著し 著わし 表し 表わし 顕し
あらわす	現す 現はす 現わす 著す 著わす 表す 表わす 顕す
あらわせ	洗わせ 現せ 現はせ 現わせ 著せ 表せ 表わせ
あらわせる	現せる 著せる 表せる 表わせる
あらわそう	現そう 現わそう 著そう 著わそう 表そう 表わそう
あらわれ	現れ 現われ 表はれ 表れ 表われ 顕れ 顕われ
あらわれで	現れ出 現われ出 表れ出
あらわれでる	あらわれ出る 現れ出る
あらわれよう	現れよう 現われよう
あらわれる	現れる 現われる 著れる 表れる 表われる 顕れる 顕われる
あらわれれ	現れれ 現われれ 表れれ 顕れれ
あり	在り 富裕 有り 莫
ありあまっ	あり余っ 有りあまっ 有り余っ 有余っ
ありあまり	あり余り 有り余り
ありあまる	あり余る 有り余る
ありあわせ	あり合わせ 在り合わせ 有りあわせ
ありつけ	あり付け 有り付け
ありふれ	有りふれ 有り触れ
ある	在る 富裕 有る 莫
あるきまわっ	歩きまわっ 歩き回っ 歩き廻っ
あるきまわり	歩きまわり 歩き回り 歩き廻り
あるきまわる	歩きまわる 歩き回る 歩き廻る
あれ	在れ 有れ 荒 荒れ 莫れ
あれる	荒る 荒れる
あろう	在ろう 有ろう
あわ	会わ 合わ 逢わ 遇わ 遭わ
あわさ	会わさ 併さ 合さ 合わさ 逢わさ 遭わさ
あわさっ	合さっ 合わさっ
あわし	会わし 併し 合し 合わし 遭わし
あわす	会わす 併す 合す 合わす
あわせ	会わせ 併せ 併わせ 協せ 合せ 合わせ 遭わせ
あわせおこなう	あわせ行う 併せ行う
あわせかんがえ	併せ考え 合わせ考え
あわせかんがえる	併せ考える 合わせ考える
あわせかんがえれ	併せ考えれ 合わせ考えれ
あわせのむ	併せ呑む 併せ飲む
あわせもた	併せ持た 合わせ持た
あわせもち	あわせ持ち 併せもち 併せ持ち 合わせもち 合わせ持ち
あわせもちい	あわせ用い 併せ用い
あわせもちいる	あわせ用いる 併せ用いる
あわせもっ	あわせ持っ 併せもっ 併せ持っ 合わせもっ 合わせ持っ
あわせもつ	あわせ持つ 併せもつ 併せ持つ 合せ持つ 合わせもつ 合わせ持つ
あわせよう	併せよう 合せよう 合わせよう
あわせる	併せる 合せる 合わせる
あわせれ	併せれ 合せれ 合わせれ
あわそう	会わそう 合わそう
あわだち	あわ立ち 泡だち 泡立ち
あわだっ	泡だっ 泡立っ
あわだつ	あわ立つ 泡立つ 粟立つ
あわだて	あわ立て 泡だて 泡立て
あわだてる	あわ立てる 泡立てる
あわて	周章て 慌て
あわれま	哀れま 憐れま
あわれみ	哀れみ 愍み 愍れみ 憐み 憐れみ
あわれむ	哀れむ 愍れむ 憐む 憐れむ 憫む
あわれめ	憐め 憐れめ
あわれん	哀れん 憐れん 憐ん 憫ん
あん	有ん 編ん
あんじ	按じ 案じ
あんずる	按ずる 案ずる
い	射 居 言 鋳
いあわせ	居あわせ 居合せ 居合わせ
いあわせる	居あわせる 居合わせる
いい	云い 言い 謂い 逝い
いいあい	言いあい 言い合い
いいあう	言いあう 言い合う
いいあえる	言いあえる 言い合える
いいあっ	言いあっ 言い合っ
いいあて	いい当て 言いあて 言い当て
いいあらそっ	いい争っ 言い争っ
いいあらわさ	言いあらわさ 言い表さ 言い表わさ 言表さ
いいあらわし	いい表し 言いあらわし 言い表し 言い表わし 言表し
いいあらわす	いい表す 言いあらわす 言い表す 言い表わす
いいおい	言いおい 言い置い
いいかえ	いい換え 言いかえ 言い変え 言い換え 言い替え 言換 言換え
いいかえし	いい返し 言い返し
いいかえす	言いかえす 言い返す
いいかえよう	言いかえよう 言い換えよう
いいかえる	言いかえる 言い変える 言い換える 言い替える 言換える
いいかえれ	いい換えれ 云いかえれ 言いかえれ 言い変えれ 言い換えれ 言い替えれ
いいかけ	云いかけ 言いかけ 言い掛け
いいきかせ	いい聞かせ 言いきかせ 言い聞かせ 言聞かせ
いいきかせる	言いきかせる 言い聞かせる
いいきっ	いい切っ 言いきっ 言い切っ
いいきり	言いきり 言い切り
いいきる	いい切る 云い切る 言いきる 言い切る
いいきれ	いい切れ 云い切れ 言いきれ 言い切れ
いいきれる	言いきれる 言い切れる
いいくるめ	言いくるめ 言い包め
いいこめる	言いこめる 言い込める
いいしれ	いい知れ 言い知れ
いいすて	言いすて 言い捨て 言い棄て 言捨て
いいすてる	いい捨てる 言い捨てる
いいたて	言いたて 言い立て 言立 言立て
いいたてる	言いたてる 言い立てる
いいつかっ	言いつかっ 言い付かっ
いいつくろい	言いつくろい 言い繕い
いいつくろっ	言いつくろっ 言い繕っ
いいつくろわ	言いつくろわ 言い繕わ
いいつけ	言いつけ 言い付け 言付け
いいつける	言いつける 言い付ける 言付ける
いいつたえ	いい伝え 云い伝え 言い伝え
いいつのっ	言いつのっ 言い募っ
いいつのり	言いつのり 言い募り
いいつのる	言いつのる 言い募る
いいならわさ	言いならわさ 言い習わさ
いいならわし	言いならわし 言い習わし 言習わし
いいのこさ	いい残さ 言い残さ 言い遺さ
